product-image-src;product-name;product-brand;product-price;product-link-href;product-ingredients;product-effect;product-category
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/819Pue25JnL._AC_UL320_.jpg;Benefit Clean Gentle Facial Cleanser;COSMEDIX;$42.00;https://www.amazon.com/COSMEDIX-Dissolves-impurities-Grapefruit-Cruelty-Free/dp/B01HBS7WO0/ref=sr_1_51?qid=1672912932&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-51;AQUA/WATER/EAU, GLYCERIN, SODIUM HYDROXYPROPYLSULFONATE LAURYLGLUCOSIDE CROSSPOLYMER, SODIUM COCO-GLUCOSIDE TARTRATE, SODIUM COCOAMPHOACETATE, SODIUM COCOYL HYDROLYZED AMARANTH PROTEIN, COCAMIDOPROPYL HYDROXYSULTAINE, LAURYL GLUCOSIDE, CALCIUM GLUCONATE, CITRUS PARADISI (GRAPEFRUIT) PEEL OIL, GLUCONOLACTONE, GLUCURONOLACTONE (D), SANTALUM SPICATA WOOD OIL, SODIUM CARBOXYMETHYL C10-16 ALKYL GLUCOSIDE, SODIUM CHLORIDE, SODIUM COCOYL GLUTAMATE, SODIUM HYDROXYPROPYLSULFONATE DECYLGLUCOSIDE CROSSPOLYMER, SODIUM LAURYL GLUCOSE CARBOXYLATE, SODIUM METHYL COCOYL TAURATE, SODIUM BENZOATE, FARNESOL, LIMONENE;BRIGHTENING;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51rNPvFWr5S._AC_UL320_.jpg;Acne Clearing Wash, 8.5 Fl Oz;Peter Thomas Roth;$39.00;https://www.amazon.com/Peter-Thomas-Roth-Clearing-Salicylic/dp/B00YP4ZBXS/ref=sr_1_44?qid=1672912932&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-44;Allantoin, BHT, Butyl Methoxydibenzoylmethane, Butylphenyl Methylpropional, Citric Acid, Cocamidopropyl Betaine, Disodium EDTA, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Fragrance/Parfum, Lauryl Glucoside, Limonene, Linalool, Panthenol, PEG-120 Methyl Glucose Dioleate, PEG-150 Pentaerythrityl Tetrastearate, PEG-40 Hydrogenated Castor Oil, PEG-6 Caprylic/Capric Glycerides, Phenoxyethanol, Potassium Sorbate, PPG-26-Buteth-26, Propylene Glycol, Sodium Benzoate, Salicylic Acid, Sodium Benzotriazolyl Butylphenol Sulfonate, Sodium Chloride, Sodium Citrate, Sodium Hydroxide, Sodium Laureth Sulfate, Tocopherol, Water;ACNE_FIGHTING;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61UFqDL2gdL._AC_UL320_.jpg;Pro-Collagen Cleansing Balm;ELEMIS;$14.00;https://www.amazon.com/ELEMIS-Pro-Collagen-Cleansing-Super-Treatment/dp/B00CFHYYIA/ref=sr_1_5?qid=1672912927&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-5;Prunus Amygdalus Dulcis (Sweet Almond) Oil, Caprylic/Capric Triglyceride, PEG-6 Caprylic/Capric Glycerides, PEG-8 Beeswax, Cetearyl Alcohol, Sorbitan Stearate, Sambucus Nigra Oil, PEG-60 Almond Glycerides, Silica, Avena Sativa (Oat) Kernel Oil, Triticum Vulgare (Wheat) Germ Oil, Butyrospermum Parkii (Shea Butter), Citrus Aurantium Dulcis (Orange) Peel Wax, Glycerin, Lecithin, Borago Officinalis Seed Oil, Lavandula Angustifolia (Lavender) Oil, Phenoxyethanol, Cocos Nucifera (Coconut) Oil, Linalool, Lavandula Hybrida Oil, Pelargonium Graveolens Flower Oil, Eucalyptus Globulus Leaf Oil, Geraniol, Acacia Decurrens Flower Wax, Rosa Multiflora Flower Wax, Tocopherol, Anthemis Nobilis Flower Oil, Cocoyl Hydrolyzed Collagen, Limonene, Mentha Arvensis Leaf Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citrus Aurantium Dulcis (Orange) Oil, Fragrance (Parfum), Vitis Vinifera (Grape) Seed Oil, Menthol, Eugenia Caryophyllus (Clove) Leaf Oil, Citral, Padina Pavonica Thallus Extract;HEALING;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61pIYL2a4IL._AC_UL320_.jpg;Vitamin Cleansing Bar;Baxter of California;$19.00;https://www.amazon.com/Baxter-California-Vitamin-Cleansing-Bar/dp/B01MU4YN7H/ref=sr_1_29?qid=1672912932&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-29;SODIUM PALMATE, SODIUM PALM KERNELATE, WATER, PALM KERNEL ACID, PARFUM / FRAGRANCE, GLYCERIN, PALM ACID, SORBITOL, CI 77891 / TITANIUM DIOXIDE, SODIUM CHLORIDE, LINALOOL, LIMONENE, HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL, TETRASODIUM, EDTA, ETIDRONIC ACID, CITRONELLOL, GERANIOL, BENZYL ALCOHOL, TETRASODIUM ETIDRONATE, TOCOPHERYL ACETATE, RETINYL PALMITATE, ALOE BARBADENSIS EXTRACT / ALOE BARBADENSIS LEAF EXTRACT, BHT, CI 15510 / ORANGE 4, SARGASSUM FILIPENDULA EXTRACT, GELIDIELLA ACEROSA EXTRACT, HYPNEA MUSCIFORMIS EXTRACT, CI 14700 / RED 4, PHENOXYETHANOL, CHLORPHENESIN, SORBIC ACID, BENZOIC ACID;;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61a9G+1e9KL._AC_UL320_.jpg;Glycolic Foaming Cleanser;Mario Badescu;$16.00;https://www.amazon.com/Mario-Badescu-Glycolic-Foaming-Cleanser/dp/B000PHVTVC/ref=sr_1_11?qid=1672912927&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-11;Sodium Lauryl Sulfate, Aqua (Water, Eau), Cocamidopropyl Betaine, Cocamide MEA, Glycolic Acid, Salvia Officinalis (Sage) Leaf Extract, Hypericum Perforatum Extract, Chamomilla Recutita (Matricaria) Flower Extract, Althaea Officinalis Leaf/Root Extract, Achillea Millefolium Extract, Sodium Chloride, Propylene Glycol, Methylparaben, Propylparaben, Diazolidinyl Urea;;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41Vn3AX4T1L._AC_UL320_.jpg;Pigmentbio Foaming Face Cream;Bioderma;$18.99;https://www.amazon.com/Bioderma-Pigmentbio-Foaming-cream-6-99/dp/B07VMBN63R/ref=sr_1_20?qid=1672912927&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-20;WATER, CITRIC ACID, BUTYROSPERMUM PARKII (SHEA) OIL, MAGNESIUM LAURETH SULFATE, SODIUM HYDROXIDE, CELLULOSE ACETATE, SODIUM COCOAMPHOACETATE, METHYLPROPANEDIOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, COCO-GLUCOSIDE, GLYCERYL OLEATE, SODIUM COCOYL GLUTAMATE, XANTHAN GUM, SODIUM CITRATE, BENZOIC ACID, PROPANEDIOL, ACRYLATES/VINYL ISODECANOATE CROSSPOLYMER, MANNITOL, XYLITOL, RHAMNOSE, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, LYSINE, AZELAIC ACID, ANDROGRAPHIS PANICULATA LEAF EXTRACT, FRUCTOOLIGOSACCHARIDES, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED PALM GLYCERIDES CITRATE, LAMINARIA OCHROLEUCA EXTRACT;ACNE_FIGHTING;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61JdT1h4HEL._AC_UL320_.jpg;Toleriane Purifying Foaming Cream Cleanser;La Roche-Posay;$24.99;https://www.amazon.com/Roche-Posay-Toleriane-Purifying-Ceramides-Niacinamide/dp/B000IOBETE/ref=sr_1_24?qid=1672912927&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-24;WATER, GLYCERIN, COCO-BETAINE, PROPANEDIOL, SODIUM COCOYL GLYCINATE, PEG-120 METHYL GLUCOSE DIOLEATE, SODIUM CHLORIDE, SODIUM HYDROXIDE, CITRIC ACID, CERAMIDE NP, NIACINAMIDE DISODIUM EDTA, CAPRYLOYL GLYCINE, CAPRYLYL GLYCOL, ACRYLATES COPOLYMER;;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81zenjhin0L._AC_UL320_.jpg;Purity Clean Exfoliating Cleanser;COSMEDIX;$42.00;https://www.amazon.com/COSMEDIX-Purity-Clean-Exfoliating-Cleanser/dp/B01ERWJRU0/ref=sr_1_57?qid=1672912936&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-57;WATER, GLYCERIN, SODIUM COCOAMPHOACETATE, LAURYL GLUCOSIDE, COCAMIDOPROPYL BETAINE, LACTIC ACID (L), GLYCOL DISTEARATE, COCO-GLUCOSIDE, GLYCERYL OLEATE, SODIUM COCOYL GLUTAMATE, SODIUM LAURYL GLUCOSE CARBOXYLATE, XANTHAN GUM, LAVENDULA ANGUSTIFOLIA (LAVENDER) OIL, MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL, MENTHA PIPERITA (PEPPERMINT) OIL, ALOE BARBADENSIS LEAF JUICE, MELIA AZADIRACHTA (NEEM) LEAF EXTRACT, MELIA AZADIRACHTA (NEEM) FLOWER EXTRACT, COCCINA INDICA FRUIT EXTRACT, SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT, ALOE BARBADENSIS FLOWER EXTRACT, OCIMUM SANCTUM LEAF EXTRACT, CURCUMA LONGA (TURMERIC) ROOT EXTRACT, OCIMUM BASILICUM (BASIL) FLOWER/LEAF EXTRACT, CORALLINA OFFICINALIS EXTRACT, RIBOFLAVIN, GLUCORONIC ACID (D), PHENOXYETHANOL, ETHYLHEXYGLYCERIN;;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51iYUp4JSXL._AC_UL320_.jpg;Daily Face Wash;Baxter of California;$24.00;https://www.amazon.com/Baxter-California-Sulfate-Daily-Types/dp/B074PBHTQM/ref=sr_1_35?qid=1672912932&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-35;WATER, SODIUM COCOYL GLYCINATE, COCO-BETAINE, GLYCERIN, ACRYLATES COPOLYMER, SODIUM CHLORIDE, PHENOXYETHANOL, SODIUM HYDROXIDE, PEG-60 HYDROGENATED CASTOR OIL, TETRASODIUM EDTA, HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID, CAPRYLOYL SALICYLIC ACID, ALLANTOIN, CAFFEINE, ALOE BARBADENSIS LEAF JUICE POWDER, CITRIC ACID;;CLEANSERS
https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61fD94+o7nL._AC_UL320_.jpg;Effaclar Purifying Foaming Gel Cleanser;La Roche-Posay;$20.99;https://www.amazon.com/Roche-Posay-Effaclar-Purifying-Cleanser-Sensitive/dp/B003JSEGNC/ref=sr_1_4?qid=1672912927&refinements=p_n_feature_ten_browse-bin%3A15863143011&rnid=11060711&s=beauty-intl-ship&sr=1-4;WATER, SODIUM LAURETH SULFATE, PEG-8, COCO-BETAINE, HEXYLENE GLYCOL, SODIUM CHLORIDE, PEG-120 METHYL GLUCOSE DIOLEATE, ZINC PCA, SODIUM HYDROXIDE, CITRIC ACID, SODIUM BENZOATE, PHENOXYETHANOL, CAPRYLYL GLYCOL, PARFUM/FRAGRANCE;;CLEANSERS
